N°;Actif;Question;Statut;Assigné;Outil;Notes;Catégorie;URLs Impactées
36;TRUE;"Y'a t-il des problèmes liés aux données structurées?";Réussi;;Screaming Frog;"Valider avec Google Rich Results Test";Schema;0
37;TRUE;"Est-ce que le poids de toutes les images est inférieur à 100 ko?";Réussi;;Screaming Frog;"Images légères = temps de chargement optimal";Images;0
38;TRUE;"Est-ce que sur les pages les plus importantes, les noms de chaque image décrivent bien les images?";Réussi;;Screaming Frog;"Noms de fichiers descriptifs = SEO images";Images;0
39;TRUE;"Est-ce que toutes les images utilisent des attributs ALT dans la balise img?";Réussi;;Screaming Frog;"ALT obligatoire pour accessibilité et SEO";Images;0
40;TRUE;"Est-ce que les attributs ALT sont bien traduits dans chaque langue?";Réussi;;Screaming Frog;"ALT localisé pour sites multilingues";Images;0
41;TRUE;"Est-ce que les URLs des pages localisées sont bien traduites?";Réussi;;Screaming Frog;"URLs traduites = meilleur SEO local";International;0
42;TRUE;"Est-ce que le code de suivi se trouve bien sur toutes les pages du site?";Échoué;;Screaming Frog;"497 URL(s) concernée(s)";Analytics;497
43;TRUE;"Est-ce que le site utilise bien Universal Analytics (et non pas Google Analytics classique)?";Réussi;;Screaming Frog;"GA4 recommandé (UA déprécié)";Analytics;0
44;TRUE;"Est-ce que certains liens internes contiennent des URLs de campagne?";Réussi;;Screaming Frog;"UTM sur liens internes = pollution des données";Analytics;0
45;TRUE;"Est-ce que le score de vitesse Google Page Speed Insights (ordinateur) est supérieur à 90, pour les pages importantes?";Réussi;;Screaming Frog;"Score Desktop > 90 = bonne expérience";Performance;0
46;TRUE;"Est-ce que le score de vitesse Google Page Speed Insights (mobile) est supérieur à 90, pour les pages importantes?";Réussi;;Screaming Frog;"Score Mobile > 90 = Mobile First Ready";Performance;0
47;TRUE;"Est-ce que certains contenus ne sont pas sécurisés?";Réussi;;Screaming Frog;"HTTPS obligatoire, éviter mixed content";Sécurité;0
48;TRUE;"Y'a t-il des redirections 302 internes?";Réussi;;Screaming Frog;"302 = temporaire, préférer 301 pour permanent";Statut HTTP;0
49;TRUE;"Y'a t-il des pages qui retournent un code 403?";Réussi;;Screaming Frog;"403 = accès interdit, vérifier permissions";Statut HTTP;0
50;TRUE;"Y'a t-il des pages qui retournent un code 404?";Échoué;;Screaming Frog;"32 URL(s) concernée(s)";Statut HTTP;32
51;TRUE;"Y'a t-il des pages qui retournent un code 500?";Réussi;;Screaming Frog;"500 = erreur serveur, investigation requise";Statut HTTP;0
52;TRUE;"Y'a t-il des pages ne retournant aucune réponse (time-out)?";Réussi;;Screaming Frog;"Timeout = serveur trop lent ou inaccessible";Statut HTTP;0
53;TRUE;"Y'a t-il des chaines de redirection?";Réussi;;Screaming Frog;"Chaînes = perte de PageRank, simplifier";Statut HTTP;0
54;TRUE;"Y'a t-il des redirections Meta Refresh utilisées?";Réussi;;Screaming Frog;"Meta refresh = mauvaise UX, utiliser 301";Statut HTTP;0
55;TRUE;"Est-ce que l'état de l'indexation montre des anomalies?";Réussi;;Google Search Console;"Vérifier Coverage Report dans GSC";Indexation;0
56;TRUE;"Est-ce que le fichier robots.txt possède des ""Erreurs"" ou ""Avertissements""?";Réussi;;Google Search Console;"Tester robots.txt dans GSC";Robots.txt;0
57;TRUE;"Est-ce que le site possède des pages bloquées non intentionnellement par robots.txt?";Réussi;;Google Search Console;"Vérifier les règles de blocage";Robots.txt;0
58;TRUE;"Est-ce que le site possède des ressources non intentionnellement bloquées par robots.txt?";Réussi;;Google Search Console;"CSS/JS bloqués = rendu incomplet";Robots.txt;0
59;TRUE;"Le site rencontre t-il des erreurs d'exploration (Crawl)?";Réussi;;Google Search Console;"Crawl Errors Report dans GSC";Exploration;0
60;TRUE;"Est-ce que le site rencontre des anomalies au niveau statistiques de crawl par GoogleBot?";Réussi;;Google Search Console;"Crawl Stats Report dans GSC";Exploration;0
61;TRUE;"Est-ce que la/les sitemap(s) sont listées dans la Google Search Console?";Réussi;;Google Search Console;"Sitemaps Report dans GSC";Sitemaps;0
62;TRUE;"Est-ce que la/les sitemap(s) possèdent des ""Erreurs"" ou ""avertissements""?";Réussi;;Google Search Console;"Corriger erreurs de sitemap";Sitemaps;0
63;TRUE;"Y'a t'il des problèmes d'indexation pour ce(s) sous-domaine(s)?";Réussi;;Google Search Console;"Vérifier chaque propriété GSC";Indexation;0
64;TRUE;"Est-ce qu'une propriété Google Search Console par site (donc par pays) a bien été créé?";Échoué;;Google Search Console;"1 URL(s) concernée(s)";Configuration GSC;1
65;TRUE;"Est-ce qu'un pays cible est défini dans Google Search Console pour chaque site?";Réussi;;Google Search Console;"International Targeting dans GSC";International;0
66;TRUE;"Est-ce que Google Search Console a détecté des erreurs relatives à la balise Hreflang?";Réussi;;Google Search Console;"International Targeting > Hreflang";International;0
67;TRUE;"Est-ce que le site est configuré dans Google Search Console?";Échoué;;Google Search Console;"1 URL(s) concernée(s)";Configuration GSC;2
68;TRUE;"Est-ce que le site a reçu une pénalité de type ""Action manuelle"" par la Search Quality Team de Google?";Réussi;;Google Search Console;"Manual Actions Report dans GSC";Pénalités;0
69;TRUE;"Est-ce que le site a des suggestions d'améliorations?";Réussi;;Google Search Console;"PageSpeed/Core Web Vitals dans GSC";Améliorations;0
70;TRUE;"Le site possède t-il des problèmes de sécurité?";Réussi;;Google Search Console;"Security Issues Report dans GSC";Sécurité;0
