N°;Actif;Question;Statut;Assigné;Outil;Notes;Catégorie;URLs Impactées
33;TRUE;"Est-ce que sur les pages les plus importantes, le mot clé principal est inclus dans la balise H1?";Échoué;;Screaming Frog;"Le H1 doit contenir le mot clé principal. C'est le signal le plus fort après le title. Un H1 sans mot clé = opportunité SEO manquée. | 2 URL(s) concernée(s)";Mots clés;2
34;TRUE;"Est-ce que sur les pages les plus importantes, le mot clé principal est inclus dans au moins une balise H2?";Échoué;;Screaming Frog;"Au moins un H2 doit contenir le mot clé principal ou une variation. Cela renforce la cohérence thématique de la page. | 3 URL(s) concernée(s)";Mots clés;3
35;TRUE;"Le site utilise t'il des données structurées?";Échoué;;Screaming Frog;"Les données structurées (Schema.org) permettent d'obtenir des rich snippets dans les résultats: étoiles, prix, FAQ, breadcrumbs. Sans schema, ces améliorations sont impossibles. | 7 URL(s) concernée(s)";Schema;7
36;TRUE;"Y'a t'il des problèmes liés aux données structurées?";Réussi;;Screaming Frog;"Des erreurs dans le schema empêchent l'affichage des rich snippets. Utiliser l'outil de test de Google pour identifier et corriger les problèmes de syntaxe.";Schema;0
37;TRUE;"Est-ce que le poids de toutes les images est inférieur à 100 ko?";Réussi;;Screaming Frog;"Des images lourdes ralentissent le chargement. Objectif: <100KB par image. Utiliser WebP, compresser les JPEG, et servir des images responsives (srcset).";Images;0
38;TRUE;"Est-ce que sur les pages les plus importantes, les noms de chaque image décrivent bien les images?";Réussi;;Screaming Frog;"Des noms comme IMG_1234.jpg ne donnent aucun contexte SEO. Privilégier: chaussure-basket-rouge.jpg. Le nom du fichier est un signal pour Google Images.";Images;0
39;TRUE;"Est-ce que toutes les images utilisent des attributs ALT dans la balise img?";Réussi;;Screaming Frog;"L'attribut ALT décrit l'image pour les lecteurs d'écran et Google. Sans ALT, l'image est invisible pour le SEO et l'accessibilité. Décrire le contenu de l'image de manière concise.";Images;0
40;TRUE;"Est-ce que les attributs ALT sont bien traduits dans chaque langue?";Réussi;;Screaming Frog;"Sur un site multilingue, les ALT doivent être dans la langue de la page. Un ALT en français sur la version anglaise nuit à l'expérience utilisateur et au SEO local.";Internationalisation;0
41;TRUE;"Est-ce que les URLs des pages localisées sont bien traduites?";Réussi;;Screaming Frog;"Les URLs doivent être dans la langue cible. /produits/chaussures en français et /en/products/shoes en anglais. Les URLs non traduites sont moins pertinentes pour les recherches locales.";Internationalisation;0
42;TRUE;"Est-ce que le code de suivi se trouve bien sur toutes les pages du site?";Échoué;;Screaming Frog;"Le tracking doit être présent sur toutes les pages pour mesurer le trafic complet. Une page sans tracking = données manquantes dans les rapports. | 7 URL(s) concernée(s)";Analytics;7
43;TRUE;"Est-ce que le site utilise bien Universal Analytics (et non pas Google Analytics classique)?";Réussi;;Screaming Frog;"Universal Analytics (UA) a été remplacé par GA4. Un site encore sur UA perd des fonctionnalités avancées. Migration vers GA4 obligatoire.";Analytics;0
44;TRUE;"Est-ce que certains liens internes contiennent des URLs de campagne?";Réussi;;Screaming Frog;"Les paramètres UTM (?utm_source=...) sur les liens internes polluent les rapports Analytics en créant de fausses sources de trafic. Réserver les UTM pour les liens externes uniquement.";Liens;0
45;TRUE;"Est-ce que le score de vitesse Google Page Speed Insights (ordinateur) est supérieur à 90, pour les pages importantes?";Réussi;;Screaming Frog;"Un score <90 indique des problèmes de performance: images non optimisées, JS bloquant, cache non configuré. La vitesse est un facteur de ranking Google depuis 2018.";Performance;0
46;TRUE;"Est-ce que le score de vitesse Google Page Speed Insights (mobile) est supérieur à 90, pour les pages importantes?";Réussi;;Screaming Frog;"Le mobile-first indexing signifie que Google évalue d'abord la version mobile. Un score <90 sur mobile pénalise directement le référencement.";Performance;0
47;TRUE;"Est-ce que certains contenus ne sont pas sécurisés?";Réussi;;Screaming Frog;"Le mixed content (HTTPS avec des ressources HTTP) affiche un avertissement dans le navigateur et bloque certaines ressources. Tous les liens internes doivent être en HTTPS.";Technique;0
48;TRUE;"Y'a t'il des redirections 302 internes?";Réussi;;Screaming Frog;"Une 302 indique une redirection temporaire. Google ne transfère pas le link juice. Pour une redirection permanente, utiliser 301 qui préserve le SEO.";Technique;0
49;TRUE;"Y'a t'il des pages qui retournent un code 403?";Réussi;;Screaming Frog;"Un code 403 signifie 'accès interdit'. Ces pages sont inaccessibles pour Google et les utilisateurs. Vérifier les permissions ou supprimer les liens vers ces pages.";Technique;0
50;TRUE;"Y'a t'il des pages qui retournent un code 404?";Réussi;;Screaming Frog;"Les pages 404 gaspillent le link juice et nuisent à l'expérience utilisateur. Rediriger les 404 vers des pages pertinentes avec une 301.";Technique;0
51;TRUE;"Y'a t'il des pages qui retournent un code 500?";Réussi;;Screaming Frog;"Une erreur 500 indique un problème serveur. Ces pages sont complètement inaccessibles. Contacter l'équipe technique pour résoudre le bug.";Technique;0
52;TRUE;"Y'a t'il des pages ne retournant aucune réponse (time-out)?";Réussi;;Screaming Frog;"Un timeout signifie que le serveur ne répond pas dans le délai imparti. Souvent dû à des scripts lourds ou une base de données lente. Impact majeur sur le crawl.";Technique;0
53;TRUE;"Y'a t'il des chaines de redirection?";Réussi;;Screaming Frog;"Une chaîne de redirection (A→B→C) ralentit le chargement et perd du link juice à chaque étape. Rediriger directement A→C pour optimiser.";Technique;0
54;TRUE;"Y'a t'il des redirections Meta Refresh utilisées?";Réussi;;Screaming Frog;"Les redirections meta refresh sont lentes et peu fiables pour le SEO. Google préfère les redirections serveur (301/302). Remplacer par une vraie redirection.";Technique;0
55;TRUE;"Est-ce que l'état de l'indexation montre des anomalies";Échoué;;Google Search Console;"Une anomalie d'indexation (>20% non indexé ou >5% en erreur) signale un problème structurel. Vérifier le robots.txt, les canonicals, et la qualité du contenu. | 1 URL(s) concernée(s)";GSC;2
56;TRUE;"Est-ce que le fichier robots.txt possède des ""Erreurs"" ou ""Avertissements""?";Réussi;;Google Search Console;"Un robots.txt mal configuré peut bloquer l'exploration de pages importantes. Vérifier dans GSC > Exploration > robots.txt que les pages clés ne sont pas bloquées.";GSC;0
57;TRUE;"Est-ce que le site possède des pages bloquées non intentionnellement par robots.txt?";Réussi;;Google Search Console;"Des pages bloquées par robots.txt ne seront jamais indexées. Vérifier que seules les pages non stratégiques (admin, login) sont bloquées, pas les pages de contenu.";GSC;0
58;TRUE;"Est-ce que le site possède des ressources non intentionnellement bloquées par robots.txt?";Réussi;;Google Search Console;"Le blocage de ressources CSS/JS empêche Google de rendre la page correctement. Le robots.txt doit autoriser l'accès aux fichiers .css, .js et images.";GSC;0
59;TRUE;"Le site rencontre t'il des erreurs d'exploration (Crawl)?";Réussi;;Google Search Console;"Les erreurs de crawl (404, timeout, DNS) empêchent Google d'indexer les pages. Consulter GSC > Exploration > Erreurs d'exploration pour identifier les problèmes.";GSC;0
60;TRUE;"Est-ce que le site rencontre des anomalies au niveau statistiques de crawl par GoogleBot?";Échoué;;Google Search Console;"Une anomalie de crawl (pages explorées mais non indexées sans raison apparente) peut indiquer un problème de qualité ou technique. Analyser ces pages individuellement. | 1 URL(s) concernée(s)";GSC;1
61;TRUE;"Est-ce que la/les sitemap(s) sont listées dans la Google Search Console?";Réussi;;Google Search Console;"Un sitemap aide Google à découvrir toutes les pages. Soumettre le sitemap dans GSC > Sitemaps. Sans sitemap, Google dépend uniquement des liens internes.";GSC;0
62;TRUE;"Est-ce que la/les sitemap(s) possèdent des ""Erreurs"" ou ""avertissements""?";Échoué;;Google Search Console;"Un sitemap avec des erreurs (URLs en 404, format incorrect) perd de son efficacité. Corriger les erreurs signalées dans GSC > Sitemaps. | 1 URL(s) concernée(s)";GSC;1
63;TRUE;"Y'a t'il des problèmes d'indexation pour ce(s) sous-domaine(s)?";Réussi;;Google Search Console;"Un taux de non-indexation >10% signale un problème. Vérifier dans GSC > Couverture les raisons: canonical, noindex, 404, contenu dupliqué, etc.";GSC;0
64;TRUE;"Est-ce qu'une propriété Google Search Console par site (donc par pays) a bien été créée?";Réussi;;Google Search Console;"Un site multilingue doit avoir une propriété GSC par langue/pays. Cela permet de suivre les performances SEO spécifiques à chaque marché.";GSC;0
65;TRUE;"Est-ce qu'un pays cible est défini dans Google Search Console pour chaque site?";Réussi;;Google Search Console;"Définir le pays cible dans GSC (pour les sites mono-pays) aide Google à comprendre l'audience visée. Paramètre accessible dans GSC > Paramètres > Ciblage géographique.";GSC;0
66;TRUE;"Est-ce que Google Search Console a détecté des erreurs relatives à la balise Hreflang?";Réussi;;Google Search Console;"Les erreurs hreflang (codes langue incorrects, return tags manquants) empêchent le bon affichage des versions localisées. Vérifier dans GSC > Améliorations > Hreflang.";GSC;0
67;TRUE;"Est-ce que le site est configuré dans Google Search Console?";Réussi;;Google Search Console;"Sans vérification GSC, impossible de suivre les performances SEO. Ajouter le site via DNS, fichier HTML ou Google Tag Manager.";GSC;0
68;TRUE;"Est-ce que le site a reçu une pénalité de type 'Action manuelle' par la Search Quality Team de Google?";Réussi;;Google Search Console;"Une action manuelle (pénalité) est appliquée par un humain pour spam, liens artificiels, etc. Vérifier dans GSC > Actions manuelles. En cas de pénalité, soumettre une demande de réexamen.";GSC;0
69;TRUE;"Est-ce que le site a des suggestions d'améliorations?";Réussi;;Google Search Console;"Les suggestions d'amélioration (Core Web Vitals, mobile, HTTPS) sont listées dans GSC et PageSpeed Insights. Un score <90% dans ces domaines offre des opportunités d'optimisation.";GSC;0
70;TRUE;"Le site possède t'il des problèmes de sécurité?";Réussi;;Google Search Console;"Un problème de sécurité (malware, phishing) affiche un avertissement dans Chrome et bloque l'accès. Vérifier dans GSC > Problèmes de sécurité et utiliser la Safe Browsing API.";GSC;0
