N°;Actif;Question;Statut;Assigné;Outil;Notes;Catégorie;URLs Impactées
42;TRUE;"Est-ce que le code de suivi se trouve bien sur toutes les pages du site?";Échoué;;Screaming Frog;"1 URL(s) concernée(s)";Analytics;1
43;TRUE;"Est-ce que le site utilise bien Universal Analytics (et non pas Google Analytics classique)?";Réussi;;Screaming Frog;"";Analytics;0
44;TRUE;"Est-ce que certains liens internes contiennent des URLs de campagne?";Réussi;;Screaming Frog;"";Analytics;0
45;TRUE;"Est-ce que le score de vitesse Google Page Speed Insights (ordinateur) est supérieur à 90, pour les pages importantes?";Réussi;;Screaming Frog;"";Performance;0
46;TRUE;"Est-ce que le score de vitesse Google Page Speed Insights (mobile) est supérieur à 90, pour les pages importantes?";Réussi;;Screaming Frog;"";Performance;0
47;TRUE;"Est-ce que certains contenus ne sont pas sécurisés?";Réussi;;Screaming Frog;"";Sécurité;0
48;TRUE;"Y'a t-il des redirections 302 internes?";Réussi;;Screaming Frog;"";Statut HTTP;0
49;TRUE;"Y'a t-il des pages qui retournent un code 403?";Réussi;;Screaming Frog;"";Statut HTTP;0
50;TRUE;"Y'a t-il des pages qui retournent un code 404?";Réussi;;Screaming Frog;"";Statut HTTP;0
51;TRUE;"Y'a t-il des pages qui retournent un code 500?";Réussi;;Screaming Frog;"";Statut HTTP;0
52;TRUE;"Y'a t-il des pages ne retournant aucune réponse (time-out)?";Réussi;;Screaming Frog;"";Statut HTTP;0
53;TRUE;"Y'a t-il des chaines de redirection?";Réussi;;Screaming Frog;"";Statut HTTP;0
54;TRUE;"Y'a t-il des redirections Meta Refresh utilisées?";Réussi;;Screaming Frog;"";Statut HTTP;0
55;TRUE;"Est-ce que l'état de l'indexation montre des anomalies?";Réussi;;Google Search Console;"";Google Search Console;0
56;TRUE;"Est-ce que le fichier robots.txt possède des ""Erreurs"" ou ""Avertissements""?";Réussi;;Google Search Console;"";Google Search Console;0
57;TRUE;"Est-ce que le site possède des pages bloquées non intentionnellement par robots.txt?";Réussi;;Google Search Console;"";Google Search Console;0
58;TRUE;"Est-ce que le site possède des ressources non intentionnellement bloquées par robots.txt?";Réussi;;Google Search Console;"";Google Search Console;0
59;TRUE;"Le site rencontre t-il des erreurs d'exploration (Crawl)?";Réussi;;Google Search Console;"";Google Search Console;0
60;TRUE;"Est-ce que le site rencontre des anomalies au niveau statistiques de crawl par GoogleBot?";Réussi;;Google Search Console;"";Google Search Console;0
61;TRUE;"Est-ce que la/les sitemap(s) sont listées dans la Google Search Console?";Réussi;;Google Search Console;"";Google Search Console;0
62;TRUE;"Est-ce que la/les sitemap(s) possèdent des ""Erreurs"" ou ""avertissements""?";Réussi;;Google Search Console;"";Google Search Console;0
63;TRUE;"Y'a t'il des problèmes d'indexation pour ce(s) sous-domaine(s)?";Réussi;;Google Search Console;"";Google Search Console;0
64;TRUE;"Est-ce qu'une propriété Google Search Console par site (donc par pays) a bien été créé?";Échoué;;Google Search Console;"1 URL(s) concernée(s)";Google Search Console;1
65;TRUE;"Est-ce qu'un pays cible est défini dans Google Search Console pour chaque site?";Réussi;;Google Search Console;"";Google Search Console;0
66;TRUE;"Est-ce que Google Search Console a détecté des erreurs relatives à la balise Hreflang?";Réussi;;Google Search Console;"";Google Search Console;0
67;TRUE;"Est-ce que le site est configuré dans Google Search Console?";Échoué;;Google Search Console;"1 URL(s) concernée(s)";Google Search Console;2
68;TRUE;"Est-ce que le site a reçu une pénalité de type ""Action manuelle"" par la Search Quality Team de Google?";Réussi;;Google Search Console;"";Google Search Console;0
69;TRUE;"Est-ce que le site a des suggestions d'améliorations?";Réussi;;Google Search Console;"";Google Search Console;0
70;TRUE;"Le site possède t-il des problèmes de sécurité?";Réussi;;Google Search Console;"";Google Search Console;0
